Date,Open,High,Low,Close,Adj Close,Volume
2022-02-24,0.884490,0.900050,0.884490,0.884510,0.884510,0
2022-02-25,0.893590,0.895410,0.887620,0.893600,0.893600,0
2022-02-28,0.894370,0.897410,0.889320,0.894370,0.894370,0
2022-03-01,0.891690,0.900730,0.890300,0.891590,0.891590,0
2022-03-02,0.898390,0.904280,0.897510,0.898250,0.898250,0
2022-03-03,0.899800,0.905810,0.899600,0.899900,0.899900,0
2022-03-04,0.903400,0.918270,0.903400,0.903600,0.903600,0
2022-03-07,0.919630,0.925190,0.914850,0.919580,0.919580,0
2022-03-08,0.920000,0.921560,0.915570,0.920360,0.920360,0
2022-03-09,0.917360,0.917610,0.901620,0.917580,0.917580,0
2022-03-10,0.903070,0.910570,0.899590,0.903030,0.903030,0
2022-03-11,0.908090,0.914520,0.905640,0.907940,0.907940,0
2022-03-14,0.914700,0.917220,0.910170,0.914740,0.914740,0
2022-03-15,0.913630,0.914120,0.907580,0.913810,0.913810,0
2022-03-16,0.911800,0.912760,0.905900,0.911630,0.911630,0
2022-03-17,0.907240,0.907340,0.900050,0.907280,0.907280,0
2022-03-18,0.900990,0.908650,0.899450,0.900940,0.900940,0
2022-03-21,0.905620,0.906940,0.903610,0.905540,0.905540,0
2022-03-22,0.907740,0.912280,0.905330,0.907670,0.907670,0
2022-03-23,0.906610,0.911930,0.905633,0.906640,0.906640,0
2022-03-24,0.908570,0.911580,0.907990,0.908570,0.908570,0
2022-03-25,0.908350,0.910500,0.905900,0.908300,0.908300,0
2022-03-28,0.910590,0.913630,0.909360,0.910590,0.910590,0
2022-03-29,0.909600,0.911540,0.897960,0.909600,0.909600,0
2022-03-30,0.901590,0.901790,0.895255,0.901590,0.901590,0
2022-03-31,0.895910,0.903016,0.894210,0.895910,0.895910,0
2022-04-01,0.903150,0.906640,0.902900,0.903150,0.903150,0
2022-04-04,0.905200,0.910670,0.904400,0.905200,0.905200,0
2022-04-05,0.911090,0.915640,0.909800,0.911090,0.911090,0
2022-04-06,0.916890,0.919480,0.914290,0.916890,0.916890,0
2022-04-07,0.917580,0.920200,0.914490,0.917580,0.917580,0
2022-04-08,0.920400,0.922770,0.918110,0.920400,0.920400,0
2022-04-11,0.918700,0.919570,0.914680,0.918700,0.918700,0
2022-04-12,0.919290,0.921500,0.917100,0.919290,0.919290,0
2022-04-13,0.923690,0.925040,0.919640,0.923690,0.923690,0
2022-04-14,0.917720,0.929490,0.915530,0.917720,0.917720,0
2022-04-15,0.924130,0.926030,0.923920,0.924130,0.924130,0
2022-04-18,0.924620,0.927330,0.924570,0.924620,0.924620,0
2022-04-19,0.927490,0.929200,0.924890,0.927490,0.927490,0
2022-04-20,0.926400,0.927230,0.920200,0.926400,0.926400,0
2022-04-21,0.921670,0.923840,0.914520,0.921670,0.921670,0
2022-04-22,0.922920,0.928260,0.921300,0.922920,0.922920,0
2022-04-25,0.924980,0.934550,0.924880,0.924980,0.924980,0
2022-04-26,0.933340,0.939440,0.931200,0.933340,0.933340,0
2022-04-27,0.939530,0.950870,0.938400,0.939530,0.939530,0
2022-04-28,0.947410,0.954850,0.946770,0.947410,0.947410,0
2022-04-29,0.952000,0.951890,0.944250,0.952000,0.952000,0
2022-05-02,0.949130,0.952020,0.946280,0.949130,0.949130,0
2022-05-03,0.951560,0.952890,0.945390,0.951560,0.951560,0
2022-05-04,0.949800,0.951790,0.946400,0.949800,0.949800,0
2022-05-05,0.941400,0.951960,0.939850,0.941400,0.941400,0
2022-05-06,0.948790,0.953710,0.943540,0.948790,0.948790,0
2022-05-09,0.949470,0.952690,0.945880,0.949470,0.949470,0
2022-05-10,0.946450,0.949910,0.944660,0.946450,0.946450,0
2022-05-11,0.949400,0.951740,0.945570,0.949400,0.949400,0
2022-05-12,0.951250,0.963990,0.949690,0.951250,0.951250,0
2022-05-13,0.963430,0.966000,0.959750,0.963430,0.963430,0
2022-05-16,0.961480,0.962340,0.958040,0.961480,0.961480,0
2022-05-17,0.957950,0.958550,0.947530,0.957950,0.957950,0
2022-05-18,0.948060,0.953070,0.946600,0.948060,0.948060,0
2022-05-19,0.954860,0.955470,0.943570,0.954860,0.954860,0
2022-05-20,0.945270,0.948670,0.943500,0.945270,0.945270,0
2022-05-23,0.946090,0.946190,0.935430,0.946090,0.946090,0
2022-05-24,0.936150,0.937910,0.930550,0.936150,0.936150,0
2022-05-25,0.931400,0.939490,0.931400,0.931400,0.931400,0
2022-05-26,0.935750,0.937690,0.932080,0.935750,0.935750,0
2022-05-27,0.931710,0.934750,0.928930,0.931710,0.931710,0
2022-05-30,0.931840,0.932190,0.927200,0.931840,0.931840,0
2022-05-31,0.928200,0.936140,0.928080,0.928200,0.928200,0
2022-06-01,0.931610,0.940580,0.931390,0.931610,0.931610,0
2022-06-02,0.938600,0.939350,0.931230,0.938600,0.938600,0
2022-06-03,0.930140,0.934000,0.928900,0.930140,0.930140,0
